timestamp,open,high,low,close,volume_btc,volume_usd
2026-02-20 18:10:40.346579,49999.81821942253,50001.05337808106,49998.32810282506,50000.496714153014,4.472013292015289,28572.39749502817
2026-02-20 18:09:40.346605,50000.05295038879,50010.21612591009,49991.10230401174,50000.35844985184,1.7096890540758367,89420.55562059866
2026-02-20 18:08:40.346613,50000.40875732889,50009.00632320442,49995.857840574354,50001.00613838994,6.148284085653122,97822.75128291508
2026-02-20 18:07:40.346619,50002.6395862933,50011.217258962664,49997.71816943427,50002.52916824635,7.877488275954462,68232.87232696885
2026-02-20 18:06:40.346625,50003.492193403086,50009.23795765306,49992.33397398569,50002.295014871626,6.700394992781322,97059.66990917227
2026-02-20 18:05:40.346629,50001.28983575754,50003.92137824277,49998.221578030796,50002.06087791468,3.248794697810266,29497.196381427708
2026-02-20 18:04:40.346632,50004.64091122796,50003.95037515437,49995.09883758127,50003.64009073019,1.4833537580406,81701.86496536876
2026-02-20 18:03:40.346635,50003.625853386984,50013.054091536695,49995.78408485617,50004.40752545933,7.9632546458995765,68166.01934463101
2026-02-20 18:02:40.346637,50003.09042386091,50007.90135761077,50001.611348969825,50003.938051073404,3.3067768990776525,27055.991235739668
2026-02-20 18:01:40.346641,50005.29920573533,50007.119259877385,50003.53221419349,50004.48061111699,0.31918433426981874,32522.32074422207
2026-02-20 18:00:40.346644,50004.93912980218,50009.63392301256,49994.260992267016,50004.01719342417,5.757070022057582,49373.94098383513
2026-02-20 17:59:40.346647,50004.40287360737,50007.760448895366,49999.29249502925,50003.55146367061,2.542105371310446,79372.69031691698
2026-02-20 17:58:40.346650,50002.477628533954,50010.31008589905,50003.77122272207,50003.793425942175,8.42793938374595,87350.00465132449
2026-02-20 17:57:40.346653,50001.414194719444,50006.718078028054,49996.889967359224,50001.88014569751,1.5182265234687078,63760.75733139911
2026-02-20 17:56:40.346656,50000.978216457,50007.1275592694,49993.96222422752,50000.155227865,4.404528405686578,72436.06085020865
2026-02-20 17:55:40.346660,49999.63448217632,50008.12717303085,49991.83205786128,49999.59294033576,2.605989015749017,27121.10422388226
2026-02-20 17:54:40.346662,49997.50641636922,50000.53567932498,49989.15068803319,49998.58010921542,6.927056030288705,74366.08342803907
2026-02-20 17:53:40.346665,49999.35267448715,50002.18868535368,49989.742650258566,49998.89435654802,5.5304560026384735,60893.001486169356
2026-02-20 17:52:40.346668,49997.27152521351,50002.354488338206,49988.58497427195,49997.9863324725,7.930778420561101,23069.169619382737
2026-02-20 17:51:40.346672,49998.36855361956,50006.19461325144,49996.25277728857,49996.57402877117,4.640264494714156,95068.51018863758
2026-02-20 17:50:40.346675,49999.58451900251,50001.69301367556,49990.92193620178,49998.03967754009,0.1476034722895163,51773.10133207087
2026-02-20 17:49:40.346678,49998.41799866595,50001.62489973552,49995.555321611544,49997.8139012396,2.2304451573410073,79651.73992650489
2026-02-20 17:48:40.346681,49999.242436149056,50004.41615467388,49996.00590257223,49997.881429444285,9.99165537112331,53035.66391392914
2026-02-20 17:47:40.346684,49996.5214726082,50000.64867835697,49988.45349557208,49996.456681258074,4.112915394164151,93360.73491731407
2026-02-20 17:46:40.346687,49996.67773602792,50005.42453598994,49991.74100164182,49995.91229853355,6.240327568073632,14986.659079142033
2026-02-20 17:45:40.346690,49997.50094141856,50004.96790872801,49986.85722036543,49996.02322112326,9.058822919781695,55069.30795128521
2026-02-20 17:44:40.346694,49995.11772622763,50000.00631532359,49994.447876637874,49994.872227545835,0.3031894032363756,3490.345203925325
2026-02-20 17:43:40.346697,49994.99273839267,50001.69567790366,49987.22611726931,49995.24792556418,6.630113224334213,20541.96566127329
2026-02-20 17:42:40.346699,49992.94266491609,49995.2275924931,49993.27894276144,49994.647286874264,2.954932042386524,28821.623955767358
2026-02-20 17:41:40.346703,49994.272459598746,50001.312898404794,49992.58982110882,49994.35559312447,2.8645577279890717,47788.397038637355
2026-02-20 17:40:40.346706,49994.577309696804,50000.82589524173,49988.98036935699,49993.75388651224,2.3260288921582384,82197.09308498554
2026-02-20 17:39:40.346709,49996.55179812432,49999.19815765318,49991.65026528802,49995.60616469675,8.245019241282481,47198.79555608275
2026-02-20 17:38:40.346712,49996.09703253773,49997.789496308265,49990.73094441072,49995.59266747201,3.7921825512202956,56557.53275133102
